filepath,label,district,institution,gender,age,date,serial_number,character_class
Images/1/01_0001_0_08_0916_1990_1.png,1,1,1.0,Male,8,916.0,1990,1.0
Images/1/01_0001_0_11_0916_1913_1.png,1,1,1.0,Male,11,916.0,1913,1.0
Images/1/01_0001_0_11_0916_1917_1.png,1,1,1.0,Male,11,916.0,1917,1.0
Images/1/01_0001_0_11_0916_1918_1.png,1,1,1.0,Male,11,916.0,1918,1.0
Images/1/01_0001_0_11_0916_1919_1.png,1,1,1.0,Male,11,916.0,1919,1.0
Images/1/01_0001_0_11_0916_1920_1.png,1,1,1.0,Male,11,916.0,1920,1.0
Images/1/01_0001_0_11_0916_1922_1.png,1,1,1.0,Male,11,916.0,1922,1.0
Images/1/01_0001_0_11_0916_1923_1.png,1,1,1.0,Male,11,916.0,1923,1.0
Images/1/01_0001_0_11_0916_1924_1.png,1,1,1.0,Male,11,916.0,1924,1.0
Images/1/01_0001_0_11_0916_1925_1.png,1,1,1.0,Male,11,916.0,1925,1.0
Images/1/01_0001_0_11_0916_1928_1.png,1,1,1.0,Male,11,916.0,1928,1.0
Images/1/01_0001_0_11_0916_1929_1.png,1,1,1.0,Male,11,916.0,1929,1.0
Images/1/01_0001_0_11_0916_1986_1.png,1,1,1.0,Male,11,916.0,1986,1.0
Images/1/01_0001_0_12_0916_1904_1.png,1,1,1.0,Male,12,916.0,1904,1.0
Images/1/01_0001_0_12_0916_1905_1.png,1,1,1.0,Male,12,916.0,1905,1.0
Images/1/01_0001_0_12_0916_1912_1.png,1,1,1.0,Male,12,916.0,1912,1.0
Images/1/01_0001_0_12_0916_1914_1.png,1,1,1.0,Male,12,916.0,1914,1.0
Images/1/01_0001_0_12_0916_1916_1.png,1,1,1.0,Male,12,916.0,1916,1.0
Images/1/01_0001_0_12_0916_1921_1.png,1,1,1.0,Male,12,916.0,1921,1.0
Images/1/01_0001_0_12_0916_1930_1.png,1,1,1.0,Male,12,916.0,1930,1.0
Images/1/01_0001_0_12_0916_1932_1.png,1,1,1.0,Male,12,916.0,1932,1.0
Images/1/01_0001_0_12_0916_1987_1.png,1,1,1.0,Male,12,916.0,1987,1.0
Images/1/01_0001_0_13_0916_1906_1.png,1,1,1.0,Male,13,916.0,1906,1.0
Images/1/01_0001_0_13_0916_1907_1.png,1,1,1.0,Male,13,916.0,1907,1.0
Images/1/01_0001_0_13_0916_1908_1.png,1,1,1.0,Male,13,916.0,1908,1.0
Images/1/01_0001_0_13_0916_1909_1.png,1,1,1.0,Male,13,916.0,1909,1.0
Images/1/01_0001_0_13_0916_1910_1.png,1,1,1.0,Male,13,916.0,1910,1.0
Images/1/01_0001_0_13_0916_1911_1.png,1,1,1.0,Male,13,916.0,1911,1.0
Images/1/01_0001_0_13_0916_1926_1.png,1,1,1.0,Male,13,916.0,1926,1.0
Images/1/01_0001_0_13_0916_1931_1.png,1,1,1.0,Male,13,916.0,1931,1.0
Images/1/01_0001_0_13_0916_1989_1.png,1,1,1.0,Male,13,916.0,1989,1.0
Images/1/01_0001_0_14_0916_0091_1.png,1,1,1.0,Male,14,916.0,91,1.0
Images/1/01_0001_0_14_0916_0097_1.png,1,1,1.0,Male,14,916.0,97,1.0
Images/1/01_0001_0_14_0916_0098_1.png,1,1,1.0,Male,14,916.0,98,1.0
Images/1/01_0001_0_14_0916_0100_1.png,1,1,1.0,Male,14,916.0,100,1.0
Images/1/01_0001_0_14_0916_0203_1.png,1,1,1.0,Male,14,916.0,203,1.0
Images/1/01_0001_0_14_0916_0204_1.png,1,1,1.0,Male,14,916.0,204,1.0
Images/1/01_0001_0_14_0916_0205_1.png,1,1,1.0,Male,14,916.0,205,1.0
Images/1/01_0001_0_14_0916_0206_1.png,1,1,1.0,Male,14,916.0,206,1.0
Images/1/01_0001_0_14_0916_0207_1.png,1,1,1.0,Male,14,916.0,207,1.0
Images/1/01_0001_0_14_0916_0209_1.png,1,1,1.0,Male,14,916.0,209,1.0
Images/1/01_0001_0_14_0916_0212_1.png,1,1,1.0,Male,14,916.0,212,1.0
